Array Size,cpu scan power-of-two,cpu scan non-power-of-two,naive scan power-of-two,naive scan non-power-of-two,work-efficient scan power-of-two,work-efficient scan non-power-of-two,thrust scan power-of-two,thrust scan non-power-of-two
262144,0.374553,0.377298,0.396832,0.355392,0.451968,0.387104,3.54445,2.69722
524288,0.750779,0.752352,0.65792,0.612128,0.741088,0.700416,6.02192,5.18288
1048576,1.50318,1.5013,1.34915,1.30877,1.40035,1.34122,10.9091,10.1085
2097152,3.02727,3.04157,2.68154,2.6032,2.76666,2.69312,21.0761,20.3469
4194304,6.02645,10.529,5.3679,5.29126,5.52595,5.46618,41.2593,40.1899
8388608,12.1574,18.689,8.768,8.70842,8.63229,8.56192,63.6292,62.6996
16777216,42.4355,24.1912,18.1271,18.0463,17.6764,17.5555,125.849,125.499
33554432,151.607,49.0461,37.6144,43.8639,39.8841,36.0691,251.835,252.865
67108864,97.6085,98.7017,95.4733,78.0019,73.9304,73.8123,503.877,503.985
134217728,196.03,193.591,202.179,162.59,153.573,152.685,1008.08,1009.94
268435456,392.89,388.798,376.475,337.526,311.023,310.915,2022.6,2020.24
